Race and Virulence Analysis of Puccinia triticina in China in 2014 and 2015		
Development of a real-time RT-PCR for the universal detection of lchv1 and study of the seasonal fluctuation of the viral titer in sweet cherry cultivars		
Hormetic effects of carbendazim on the virulence of botrytis cinerea		
Molecular and morphological characterization of colletotrichum species in the colletotrichum gloeosporioides complex associated with persimmon anthracnose in South Korea		
Characterization of a new tymovirus causing stunting and chlorotic mosaic in naranjilla (Solanum quitoense)		
Microsclerotial enumeration, size, and survival of calonectria pseudonaviculata		
Incidence and distribution of puccinia coronata and p. Graminis on turfgrass in the midwestern United States		
Efficacy of copper and new bactericides for managing olive knot in California		
Tank mixing fungicides for effectiveness against eastern filbert blight of hazelnut		
Antifungal activity of saponins from the fruit pericarp of sapindus mukorossi against venturia inaequalis and botrytis cinerea		
Characterization of a powdery mildew resistance gene in wheat breeding line 10V-2 and its application in marker-assisted selection		
Influence of beet necrotic yellow vein virus and freezing temperatures on sugar beet roots in storage		
Genetic and physical mapping of a putative leymus mollis-derived stripe rust resistance gene on wheat chromosome 4A		
Late-summer disease symptoms in western washington red raspberry fields associated with Co-Occurrence of phytophthora rubi, verticillium dahliae, and pratylenchus penetrans, but not raspberry bushy dwarf virus		
Development and application of a multiplex qPCR method for the simultaneous detection and quantification of pratylenchus alleni and P. Penetrans in Quebec, Canada		
Suppression of meloidogyne incognita by the entomopathogenic fungus lecanicillium muscarium		
Ribotypes of polymyxa graminis in wheat samples infected with soilborne wheat viruses in china		
First report of root rot caused by Calonectria Ilicicola on blueberry in Yunnan province, China		
First report of maize yellow mosaic virus infecting maize (Zea mays) in Ethiopia		
First report of root rot and vine decline of melon caused by Monosporascus cannonballus in Greece		
First report of black rot caused by Xanthomonas campestris on arugula in California		
First report of Botrytis leaf blight on lily (Lilium longiflorum) caused by Botrytis cinerea in Beijing, China		
First report of leaf spot of lotus (Nelumbo nucifera) caused by Nigrospora oryzae in China		
First report of chrysanthemum stem blight and dieback caused by tomato spotted wilt virus in China		
First report of Sclerotinia sclerotiorum (Sclerotinia blight) on Symphyotrichum dumosum in Poland		
First report of fusarium patch on festuca arundinacea caused by Fusarium incarnatum-equiseti species complex (FIESC 1) in China		
First report of melon necrotic spot virus in melon plantations in Brazil		
First report of tomato leaf curl New Delhi virus infecting zucchini in morocco		
First report of Lasiodiplodia brasiliense causing disease in apple trees in Brazil		
First report of powdery mildew caused by Podosphaera astericola on Aster spathulifolius in Korea		
First report of Colletotrichum linicola causing anthracnose on alfalfa in China		
First report of natural infection of watermelon mosaic virus on lagerstroemia indica in China		
Identity of Epicoccum sorghinum causing leaf spot disease of Bletilla striata in China		
First report of a typical calico-associated isolate of Peach latent mosaic viroid from calico disease-affected peach trees in Korea		
First report of leaf spot caused by Alternaria alternata on paris polyphylla var. chinensis in China		
First report of leaf spot of Salvia elegans caused by Alternaria alternata in Italy		
First report of alfalfa (Medicago sativa l.) seed rot, seedling root rot, and damping-off caused by pythium spp. in sudanese soil		
First report of sweet potato leaf curl virus and sweet potato leaf curl deltasatellite 1 infecting blue morning glory in Portugal		
First report of root and collar rot of strawberry (Fragaria ?Ч ananassa) caused by ceratobasidium sp. AG-B(o) (Binucleate Rhizoctonia) in India		
First report of leaf spot on radix asteris (Aster tataricus) caused by Colletotrichum destructivum in China		
First report of powdery mildew caused by Erysiphe macleayae on Lamprocapnos spectabilis in China		
First report of Colletotrichum henanense causing anthracnose on tea-oil trees in China		
Occurrence of frogeye leaf spot, caused by Cercospora nicotianae, on greenhouse tobacco transplants in Kentucky		
First report of Fusarium culmorum causing fusarium head blight of wheat in Wisconsin		
First report of Fusarium oxysporum f. sp. niveum race 3 causing wilt of watermelon in Florida, U.S.A		
First report of Cowpea mild mottle virus infecting cultivated and wild phaseolus in the central-western region of Mexico		
First report of Phytopythium sp. Causing storage root rot and foliage blight of cassava in Brazil		
First report of cobweb disease caused by Cladobotryum dendroides on shiitake mushroom (Lentinula edodes) in Spain		
First report of leaf spot on Osmanthus fragrans caused by Colletotrichum gloeosporioides in Jiangxi Province of China		
First report of Pseudomonas cichorii causing bacterial leaf blight of Plumeria pudica in Hawaii		
First report of cyst nematode (Heterodera iri) in Ohio		
First report of a new Myxogastria (Stemonaria longa) causing rot disease on shiitake logs (Lentinula edodes) in China		
First report of Little cherry virus 1 and 2 in sweet cherry in Korea		
First report of powdery mildew caused by Erysiphe macleayae on Corydalis edulis in China		
First report of cucurbit aphid-borne yellows virus infecting cucurbita pepo in oklahoma		
First report of plantago asiatica mosaic virus in rehmannia glutinosa in Korea		
First report of Colletotrichum brevisporum causing anthracnose on pumpkin in China		
First report of fusarium pseudograminearum causing crown rot on aegilops tauschii in the north China plain		
First report of Colletotrichum lindemuthianum causing anthracnose on pepper in China		
First report of Sorghum Zonate leaf spot caused by Gloeocercospora sorghi in China		
Powdery mildew caused by Golovinomyces cichoracearum on eastern purple coneflower (Echinacea purpurea) in Italy		
First report of Gnomoniopsis castaneae causing canker on hybrid plants of Castanea sativa ?Ч C. crenata in Spain		
First report of Xanthomonas oryzae pv. Oryzicola causing bacterial leaf streak of rice in Kenya		
First report of Fusarium oxysporum f. Sp. lactucae race 4 on lettuce in Belgium		
First report of Nectria haematococca as the causal agent of canker rot in Phellodendron amurense in China		
First report of leaf spot of peppermint (Mentha ?Ч piperita) caused by alternaria alternata in Italy		
First report of phytophthora nicotianae causing asparagus spear and root rot in China		
First report of brevipalpus papayensis as vector of coffee ringspot virus and citrus leprosis virus C		
First report of sunn hemp fusarium wilt caused by Fusarium udum f. sp. crotalariae in Taiwan		
First report of natural infection of solanum nigrum with tomato mosaic virus in India		
First report of тАШCandidatus phytoplasma solaniтАЩ infecting parsnip in Serbia		
First report of Xanthomonas vasicola pv. vasculorum causing bacteria leaf streak of maize (Zea mays) in Argentina		
First report of powdery mildew caused by Neoerysiphe galeopsidis on Stachys japonica in China		
First report of Didymella leaf blight on Cornus officinalis caused by Didymella glomerata in China		
First report of Bipolaris secalis causing disease on Jangada Brava (Heliocarpus americanus) seeds in Brazil		
First report of two Penicillium spp. causing postharvest fruit rot of grapes in Pakistan		
Occurrence of Puccinia polysora causing southern corn rust in the Northeast Huanghuaihai region of China		
Combined infection with Cucumber green mottle mosaic virus and Pythium species causes extensive collapse in cucumber plants		
